,Intuition-building,Clearly Articulated,Credible,Scoped,Impact,Strictness,Actionable,Discoverable,Relationships,Updateable,Permanence
WB-5 : WB-GL-5,5,4,5,2,1,4,5,5,3,4,2
VIS-2 : VIS-GL-4,4.0,4.5,5.0,3.5,3.5,4.5,4.5,4.5,4.0,4.5,4.0
CS-13 : RED-GL-2,3.0,3.0,2.0,1.5,2.5,1.0,1.5,5.0,1.0,3.0,1.0
VIS-7 : VIS-GL-19,5.0,4.5,5.0,5.0,4.5,4.0,5.0,2.5,5.0,4.0,4.5
CS-11 : VG-GL-12,4,5,5,4,4,1,4,5,5,4,5
WB-11 : WB-GL-13,5,5,4,5,3,5,4,5,5,5,4
BK-3 : BK-GL-20,5,5,5,4,4,2,5,4,2,4,1
WB-17 : WB-GL-20,4,4,4,5,4,5,2,4,2,4,3
BK-1 : BK-GL-6,5.0,5.0,5.0,4.0,4.0,3.5,5.0,5.0,5.0,5.0,1.0
WB-11 : WB-GL-14,5,4,4,5,3,5,3,5,5,5,4
WB-10 : WB-GL-10,5,4,5,5,3,4,5,4,2,5,1
WB-6 : WB-GL-6,3,5,5,2,2,4,2,5,2,5,1
VIS-9 : VIS-GL-23,3.5,4.5,5.0,4.5,2.5,4.0,5.0,3.0,4.0,1.5,4.0
VIS-12 : VIS-GL-26,3.5,4.5,5.0,5.0,3.5,2.5,2.0,4.0,4.5,4.5,4.5
WB-15 : WB-GL-18,5,5,4,4,3,4,4,5,5,5,5
CS-9 : VG-GL-10,3.0,4.0,4.5,3.5,3.0,2.5,1.5,4.0,4.0,3.0,4.0
WB-13 : WB-GL-16,5,5,4,5,3,2,1,4,4,4,4
VIS-12 : VIS-GL-27,3.5,4.5,5.0,4.5,3.5,4.0,2.0,4.0,4.5,4.5,5.0
BK-2 : BK-GL-14,1,4,4,5,2,4,5,2,4,4,1
VIS-3 : VIS-GL-8,4.5,5.0,5.0,4.5,4.0,4.0,5.0,4.5,5.0,4.0,3.5
WB-1 : WB-GL-1,5,4,4,4,4,5,5,5,5,4,2
BK-2 : BK-GL-16,4,5,5,5,2,2,1,2,4,5,1
BK-3 : BK-GL-29,4,5,4,2,4,2,5,4,5,2,1
BK-1 : BK-GL-7,5.0,5.0,4.5,4.5,2.0,4.0,5.0,5.0,4.0,5.0,1.0
VIS-6 : VIS-GL-16,4.0,5.0,5.0,4.5,4.0,4.5,4.5,4.0,4.5,3.0,4.5
BK-2 : BK-GL-11,4,5,4,2,4,5,5,4,4,2,1
CS-12 : RED-GL-1,1.0,4.0,2.0,1.5,2.5,1.0,3.5,5.0,1.5,4.5,1.0
CS-5 : VG-GL-6,1.5,4.0,1.5,3.5,1.0,3.5,5.0,3.0,2.5,4.5,3.0
VIS-4 : VIS-GL-10,4.0,5.0,5.0,5.0,3.5,3.0,5.0,5.0,4.5,4.5,3.5
BK-1 : BK-GL-8,3.0,5.0,4.5,2.0,1.5,2.0,5.0,5.0,5.0,5.0,1.0
